11.75,13.52,0.8082,5.444,2.678,4.378,5.31,3
20.24,16.91,0.8897,6.315,3.962,5.901,6.188,2
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,3
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3
18.36,16.52,0.8452,6.666,3.485,4.933,6.448,2
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1
11.18,13.04,0.8266,5.22,2.693,3.332,5.001,3
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1
